fecha_factura,ingreso_al_sistema,doc,documento,proveedor,documento_1,valor_base,valor_iva,valor_total,plazo,fecha_vencimiento,mes,ano,dias_cartera,rte_fuente,rte_ica,descuentos,rte_fuente_1,rte_ica_1,total_abonos,saldo_a_pagar,unnamed_21,unnamed_22,unnamed_23,unnamed_24,total_abonado,n_abonos,ultimo_abono,saldo_pendiente,dias_por_pagar,dias_vencido,tramo_aging
2025-11-22,2025-11-24,F,DRY535795,Softys,0,18404324.0,3495822.0,21900146.0,60.0,2026-01-21,1.0,2026.0,0.0,SI,NO,552129.72,460108.1,0.0,20887915.0,-6.82,,,,,20887915.0,2.0,2026-01-20,1012231.0,-181,181,vencida_>90
2025-11-24,2025-11-27,F,FE2499,Grupo Family & Home,0,5541176.0,1052823.0,6593999.0,60.0,2026-01-23,1.0,2026.0,0.0,SI,SI,,138529.4,42667.0552,6412803.0,-0.4552,,,,,6412803.0,1.0,2026-02-05,181196.0,-179,179,vencida_>90
2025-11-24,2025-11-27,F,FE1313,Grupo Family & Home,0,4083987.0,775957.0,4859944.0,60.0,2026-01-23,1.0,2026.0,0.0,SI,SI,,102099.675,31446.6999,4726398.0,-0.3749,,,,,4726398.0,1.0,2026-02-05,133546.0,-179,179,vencida_>90
2025-11-25,2025-11-27,F,FE8108,Infantiles ABBA,0,4967328.0,943792.0,5911120.0,30.0,2025-12-25,12.0,2025.0,0.0,SI,NO,248366.4,124183.2,0.0,5538570.0,-0.1,,,,,5538570.0,1.0,2025-12-11,372550.0,-208,208,vencida_>90
2025-11-25,2025-11-27,R,29215,Infantiles ABBA,0,4967328.0,0.0,4967328.0,30.0,2025-12-25,12.0,2025.0,0.0,SI,NO,248366.4,0.0,0.0,4718961.0,-0.4,,,,,4718961.0,1.0,2025-12-06,248367.0,-208,208,vencida_>90
2025-11-25,2025-11-27,R,29222,Infantiles ABBA,0,1285900.0,,1285900.0,30.0,2025-12-25,12.0,2025.0,0.0,SI,NO,102872.0,0.0,0.0,1183020.0,0.0,,,,,1183020.0,1.0,2025-12-06,102880.0,-208,208,vencida_>90
2025-11-28,2025-11-28,F,DRY536644,Softys,0,24085779.0,4576298.0,28662077.0,60.0,2026-01-27,1.0,2026.0,0.0,SI,NO,722573.37,602144.475,0.0,27337359.0,-0.04499999997,,,,,27337359.0,2.0,2026-01-28,1324718.0,-175,175,vencida_>90
2025-11-30,2025-12-01,F,DRY537055,Softys,0,4414515.0,838758.0,5253273.0,60.0,2026-01-29,1.0,2026.0,0.0,SI,NO,132435.45,110362.875,0.0,5010475.0,-0.325,,,,,5010475.0,2.0,2026-01-28,242798.0,-173,173,vencida_>90
2025-11-28,2025-12-01,F,FG8331,Laboratorio San Jorge SAS,0,6540336.0,246523.0,6786859.0,0.0,2025-11-28,11.0,2025.0,0.0,SI,SI,,163508.4,50360.5872,6572990.0,-0.08720000003,"267497,1 descontar a san jorge en la proxima factura",,,,6572990.0,2.0,2025-11-27,213869.0,-235,235,vencida_>90
2025-12-03,2025-12-04,F,FG8434,Laboratorio San Jorge SAS,0,2847744.0,541071.0,3388815.0,0.0,2025-12-03,12.0,2025.0,0.0,SI,SI,,71193.6,21927.6288,3295694.0,-0.2288,,,,,3295694.0,1.0,2025-12-02,93121.0,-230,230,vencida_>90
2025-12-03,2025-12-04,R,29296,Infantiles ABBA,0,2909480.0,0.0,2909480.0,30.0,2026-01-02,1.0,2026.0,0.0,SI,NO,232758.4,0.0,0.0,2676721.0,-0.4,,,,,2676721.0,1.0,2025-12-06,232759.0,-200,200,vencida_>90
2025-12-03,2025-12-05,F,FE8161,Infantiles ABBA,0,1004925.0,190935.0,1195860.0,30.0,2026-01-02,1.0,2026.0,0.0,SI,NO,50246.25,25123.125,0.0,1120491.0,-0.375,,,,,1120491.0,1.0,2025-12-10,75369.0,-200,200,vencida_>90
