cod_interno,descripcion,categoria,marca_proveedor,venta_total,venta_bruta,costo_total,cantidad_vendida,margen_bruto,margen_bruto_pct,precio_venta_promedio,costo_promedio,acum_pct,clasificacion_abc
8637,CREMA ARRURRU X 220 ORIGINAL,ESTUCHES Y KITS REGALO,BELLEZA EXPRESS,12230132.89,12602296,9757582.26,971,2472551.0,0.2022,12595.0,10049.0,0.7528272192128874,A
4297,ENTRETENEDOR INFAN TEC BIP 1084,OTROS,PANAMA,579832.0800000001,594142,462857.72000000003,116,116974.0,0.2017,4999.0,3990.0,0.9887164424035801,C
14282,CARGADOR ARNES BL 2306 - 274,OTROS,CHINA,2663202.13,2734185,2127595.63,79,535606.0,0.2011,33711.0,26932.0,0.9168217589923818,B
14151,DIDACTICO CUTE MUSIC BL 2306 - 231,OTROS,CHINA,1420942.6,1456680,1135245.67,52,285697.0,0.2011,27326.0,21832.0,0.9624088256200443,C
10946,BOLSA LECHE MATERNA X 30 INFANTEC BIP 1335,CUIDADO FEMENINO Y MATERNIDAD,PANAMA,4384678.33,4486017,3503603.65,189,881075.0,0.2009,23199.0,18538.0,0.8692335831286574,B
14139,DIDACTICO PIANO BEEPIANO MARIPOSA BL 2306 - 169,OTROS,CHINA,1278970.3900000001,1306778,1022479.64,65,256491.0,0.2005,19676.0,15730.0,0.96710278378919,C
14540,ENTRETENEDOR CADENA BOOGY 33260,OTROS,PANAMA,677821.48,694900,543267.74,113,134554.0,0.1985,5998.0,4808.0,0.9863155655328951,C
14264,CHILLON X 8 LOVE BL 2306 - 154,OTROS,CHINA,1484261.93,1522454,1190673.2,240,293589.0,0.1978,6184.0,4961.0,0.9604561887622796,C
14184,CHILLON FUNNY X 5 BL 2306 - 111,OTROS,CHINA,691353.02,702506,554772.89,91,136580.0,0.1976,7597.0,6096.0,0.9858558544971173,C
14261,CHILLON X 6 BATH TOYS BL 2306 - 148,OTROS,CHINA,1289222.02,1314550,1034492.02,145,254730.0,0.1976,8891.0,7134.0,0.9664539797240816,C
14174,CHILLON TINA X 5 FUNNY BL 2306 - 101,OTROS,CHINA,2037085.99,2092395,1635143.0,196,401943.0,0.1973,10393.0,8343.0,0.9399506955490164,B
14526,ENTRETENDOR BOOGY 33256,OTROS,PANAMA,1062900.79,1090800,853745.53,251,209155.0,0.1968,4235.0,3401.0,0.9739020001309444,C
14247,CARGADOR 3 WAY CARRIER BL 2306 - 277,OTROS,CHINA,1654161.07,1695764,1328649.35,32,325512.0,0.1968,51693.0,41520.0,0.9546537396218824,C
14561,BOTELLA PITILLO BOOGY 33538,OTROS,PANAMA,2114310.41,2167100,1700159.92,162,414150.0,0.1959,13051.0,10495.0,0.9379823693744583,B
8632,ALMOHADA ESTABILIZADORA ABBA 1225,OTROS,ABBA,752309.69,775252,605000.02,86,147310.0,0.1958,8748.0,7035.0,0.9832314937712039,C
2214,ENTRETENEDOR INFANTEC GB 0989,OTROS,PANAMA,157081.35,161032,126344.0,34,30737.0,0.1957,4620.0,3716.0,0.9975777313886017,C
14095,CARGADOR BABY WILLBABY 8601,OTROS,CHINA,2766941.73,2834281,2226528.62,64,540413.0,0.1953,43233.0,34790.0,0.9119521641058725,B
14604,CARGADOR FULAR TELA BL 2412+105,OTROS,CHINA,3948298.5,4047600,3179349.78,108,768949.0,0.1948,36558.0,29438.0,0.880440411147137,B
14514,ENTRETENEDOR INFANTEC BIP 1341,OTROS,PANAMA,1016403.06,1041000,818949.91,144,197453.0,0.1943,7058.0,5687.0,0.9753652955003697,C
8506,CEPILLO INFAN TEC BIP 1295,OTROS,PANAMA,1513598.22,1558155,1219648.22,205,293950.0,0.1942,7383.0,5950.0,0.9593636299200202,C
14240,CHILLON X 6 BABY TOYS BL 2306 - 153,OTROS,CHINA,1331440.07,1364828,1073192.61,163,258247.0,0.194,8168.0,6584.0,0.9651282956502776,C
9667,CREMA ARRURRU X 400 ORIGINAL,ESTUCHES Y KITS REGALO,BELLEZA EXPRESS,20824702.9,21416745,16816470.41,1089,4008232.0,0.1925,19123.0,15442.0,0.7202080834826287,A
71,CORRAL DESARMABLE CASITA ABBA 09,MOBILIARIO INFANTIL,ABBA,38201070.79,39235292,30863856.52,174,7337214.0,0.1921,219546.0,177378.0,0.6499174215798079,A
13632,ENTRETENEDOR INFANTEC BIP 1143,OTROS,PANAMA,643393.97,660910,520056.58999999997,98,123337.0,0.1917,6565.0,5307.0,0.9873543778524683,C
14532,ENTRETENEDOR BOOGY 21941,OTROS,PANAMA,999517.62,1027400,808482.55,212,191035.0,0.1911,4715.0,3814.0,0.9759306509311846,C
14562,BOTELLA PITILLO BOOGY 33539,OTROS,PANAMA,2380511.52,2451700,1926237.81,185,454274.0,0.1908,12868.0,10412.0,0.9275791657793871,B
10931,ENTRETENEDOR INFANTEC BIP 1399,OTROS,PANAMA,699899.28,716956,566522.39,117,133377.0,0.1906,5982.0,4842.0,0.9853870700176435,C
14089,BABERO SILICONA BABY BIBS BL 2306-348,ROPA Y TEXTIL,CHINA,1892777.56,1944811,1532274.44,256,360503.0,0.1905,7394.0,5985.0,0.9463355056083826,B
10666,ASPIARDOR NASAL BOOGY 20931,OTROS,PANAMA,1451191.4,1492933,1175077.0,189,276114.0,0.1903,7678.0,6217.0,0.961363187146586,C
14088,BABERO SILICONA HONEY BABY BL 2306-347,ROPA Y TEXTIL,CHINA,2721137.86,2794749,2203792.05,380,517346.0,0.1901,7161.0,5799.0,0.9137980559459108,B
14178,CHILLON FUNNY X 5 BL 2306 - 105,OTROS,CHINA,1706961.18,1749892,1382794.76,219,324166.0,0.1899,7794.0,6314.0,0.9526730605444157,C
14521,CADENA BOOGY 21923,OTROS,PANAMA,854456.09,875946,692175.79,297,162280.0,0.1899,2877.0,2331.0,0.9806583301965218,C
14447,DIDACTICO COCODRILO BL 2306 - 232,OTROS,CHINA,2136236.7,2189964,1730679.67,103,405557.0,0.1898,20740.0,16803.0,0.9367903868589353,B
14180,CHILLON FUNNY X 5 BL 2306 - 107,OTROS,CHINA,1764880.81,1818772,1430738.31,213,334142.0,0.1893,8286.0,6717.0,0.9503317329790456,C
1112,CHUPO POPOCHO GRAN ANDINA SILICONA 1833,BIBERONES Y EXTRACTORES,VARIOS 2024,4489137.64,4602000,3639349.87,2802,849788.0,0.1893,1602.0,1299.0,0.8657535752155355,B
14155,DIDACTICO MINI CAMERA HJ 8029,OTROS,CHINA,1762628.1099999999,1811711,1430419.79,167,332208.0,0.1885,10555.0,8565.0,0.9507276740951878,C
14603,CARGADOR BEBE MAMA BL 2412+104,COCHES Y PORTEO,CHINA,5587082.33,5727600,4540068.71,138,1047014.0,0.1874,40486.0,32899.0,0.8382697590451605,B
7262,CARGADOR BABY BOO CARRIER BL 2306 - 281,OTROS,CHINA,4190681.2,4289450,3416804.98,72,773876.0,0.1847,58204.0,47456.0,0.8738044421584269,B
15041,JUGUETE MASCOTA DOUGEZ CK031,JUGUETES Y ACCESORIOS,MASCOTA,6099.21,6300,4979.64,1,1120.0,0.1836,6099.0,4980.0,0.9999851161225302,C
15102,KIT CATS ARMATY,OTROS,MASCOTA,166130.99,171600,135636.0,3,30495.0,0.1836,55377.0,45212.0,0.9973505031782629,C
15063,BEBEDERO PARA PERRO GRANDE DGZ2025-7,OTROS,MASCOTA,37757.04,39000,30826.37,6,6931.0,0.1836,6293.0,5138.0,0.9995316687836295,C
14776,VASO 10 OZ INFANTEC BIP 1589,OTROS,PANAMA,274174.22,283200,223846.84,24,50327.0,0.1836,11424.0,9327.0,0.9955308160025427,C
14774,TETERO 8 OZ INFANTEC BIP 1586,BIBERONES Y EXTRACTORES,PANAMA,60411.27,62400,49322.18,6,11089.0,0.1836,10069.0,8220.0,0.9990693331663173,C
