producto,stock_actual,costo_total_inventario,costo_unitario_inventario,categoria_producto
PLATO SILICONA BL 2024+47,179,1941076,10844.0,OTROS
TETERO 15 OZ BOOGY 21482,178,2675696,15032.0,BIBERONES Y EXTRACTORES
CHILLON FUNNY X 5 BL 2306 - 110,178,1054472,5924.0,OTROS
TETERO SILICONA BOOGY CUCHARA 19222,176,1521520,8645.0,BIBERONES Y EXTRACTORES
BABERO SILICONA HONEY BABY BL 2306-347,176,989296,5621.0,ROPA Y TEXTIL
CORTAUÑAS LUPA BOOGY 20769,174,827370,4755.0,OTROS
TOCADOR CASTILLO PRINCESS,172,4819096,28018.0,MOBILIARIO INFANTIL
RED CHILLON X 3 FUNNY BL 2306 - 99,172,1316316,7653.0,OTROS
PAÑALERA CHICCO BL 2412+015,170,6474790,38087.0,PAÑALES
ENTRETENEDOR ONLY BL 2306-39,170,1006740,5922.0,OTROS
MAMELUCO X 5 MANGA SISA TEDMIMAK 66007,167,4242301,25403.0,OTROS
TETERO 16 ONZ BOOGY 21970,167,2161815,12945.0,BIBERONES Y EXTRACTORES
CEPILLO PEINE BABY MUSICIAN BL 2306-32,166,576020,3470.0,OTROS
PAÑALERA DEELLT BL 2412+018,164,6248400,38100.0,PAÑALES
SILLA INFANTIL ARMATY ORIGINAL,162,2051082,12661.0,OTROS
PORTALECHE BOOGY 20670,161,949900,5900.0,ALIMENTOS Y BEBIDAS
MOVIL MUSICAL PASTA HAPPY SHAKING BL 2306 - 242,160,3716960,23231.0,OTROS
LLAMADIENTE BOOGY 20800,160,1308000,8175.0,OTROS
PAÑALERA DEELLT BL 2412+017,159,6033414,37946.0,PAÑALES
CHILLON X 8 LOVE BL 2306 - 154,159,727743,4577.0,OTROS
GOTERO MEDICINAL 20921,159,273162,1718.0,OTROS
PELUCHE VIBRADOR TOLELE BL 2306 - 353,158,2384852,15094.0,JUGUETES Y ACCESORIOS
RED CHILLON X 4 FUNNY BL 2306 - 100,158,1362592,8624.0,OTROS
TETERO CUCHARA FRUTA ONLY BL 2306-23,157,1275625,8125.0,BIBERONES Y EXTRACTORES
MANIJA LELEBE YMY 608,156,1269216,8136.0,OTROS
TABLET DIDACTICA DINOSAURIOS SMART BL 2306 - 144,156,837096,5366.0,OTROS
CUCHARA SILICONA INFAN TEC GB 0662,156,810732,5197.0,OTROS
ESCOBILLON NOOR NOS 164,156,543816,3486.0,OTROS
MOVIL MUSICAL PASTA HAPPY SHAKING BL 2306 - 241,155,3600805,23231.0,OTROS
SONAJERO BABY X 2 BL 2306 - 159,155,563580,3636.0,JUGUETES Y ACCESORIOS
VASO 10 OZ BOOGY 21387,154,1506890,9785.0,OTROS
CHUPO X 2 ONLY 3+ A 7,154,397936,2584.0,BIBERONES Y EXTRACTORES
SONAJERO BABY X 2 BL 2306 - 158,153,556308,3636.0,JUGUETES Y ACCESORIOS
