producto,stock_actual,costo_total_inventario,costo_unitario_inventario,categoria_producto
ENTRETENEDOR X 2 INFANTEC BIP 1277,77,757757,9841.0,OTROS
TETERO 2 OZ SAFARY GBS 001,77,314083,4079.0,BIBERONES Y EXTRACTORES
ENTRETENEDOR INFAN TEC BIP 1084,76,294804,3879.0,OTROS
TETERO 16 OZ BOOGY 21968,75,965925,12879.0,BIBERONES Y EXTRACTORES
VASO BOOGY 21388,75,950025,12667.0,OTROS
VASO INFANTEC ND 5002,75,707025,9427.0,OTROS
PORTALECHE WAKIDS 76472,75,411225,5483.0,ALIMENTOS Y BEBIDAS
PAÑALERA DEELLT BL 2306-91,74,2744142,37083.0,PAÑALES
CEPILLO PEINE INFANTEC GB 0763,74,415806,5619.0,OTROS
CORTAUÑAS BOOGY 20914,74,271284,3666.0,OTROS
COMEDOR HC 200A-B N FUNNY CHAIR,73,14623944,200328.0,MOBILIARIO INFANTIL
TERMOMETRO DIGITAL F 01,73,9855000,135000.0,FARMACIA Y BOTIQUÍN
VASO INFANTEC BIP 1518,73,587942,8054.0,OTROS
VASO 7 OZ JUGO BOOGY 19984,73,388579,5323.0,ALIMENTOS Y BEBIDAS
VASO SIPPER CUP ESTAMPADO PRAKTIPLAS,73,162863,2231.0,OTROS
PASEADOR MILANO PRIORI BLUE,72,10080000,140000.0,CAMINADORES Y MONTABLES
VASO 10 ONZ BOOGY 21386,72,704520,9785.0,OTROS
TETERO 10 OZ INFAN TEC BIP 1232,72,480096,6668.0,BIBERONES Y EXTRACTORES
PAÑALERA BL 2412+012,71,1647910,23210.0,PAÑALES
DIDACTICO MARIPOSA BL 2306 - 179,71,820192,11552.0,OTROS
ARNES AIEBAO 2018,70,1508360,21548.0,OTROS
VASO INFANTEC BIP 1519,70,560210,8003.0,OTROS
PAÑALERA BL 2412+107,69,3174966,46014.0,PAÑALES
PELUCHE MUSICAL SOZZY WLTH 8032 S,67,1789168,26704.0,JUGUETES Y ACCESORIOS
VASO JUGO INFACTEC GB- 7034,66,506022,7667.0,ALIMENTOS Y BEBIDAS
MOVIL CUNA BABE BED BELL BL 2306-247,65,1397435,21499.0,MOBILIARIO INFANTIL
ASPIRADOR NASAL INFANTEC BIP 1577,65,258830,3982.0,OTROS
CHILLON BABY TOYS X 10 BL 2306 - 156,64,406016,6344.0,OTROS
ENTRETENEDOR INFANTEC BIP 1151 M,63,357147,5669.0,OTROS
PROTECTOR DE BAÑERA REF 1229 ABBA,62,551614,8897.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
VASO INFANTEC BIP 1515,62,494574,7977.0,OTROS
ENTRETENEDOR INFANTEC BIP 1399,62,292082,4711.0,OTROS
ENTRETENEDOR INFANTEC BIP 1379 L,62,263190,4245.0,OTROS
TETERO 2 OZ INFANTEC BIP 1583,62,226486,3653.0,BIBERONES Y EXTRACTORES
COLCHONETA ABBA 70 X 110 REF 1026,61,2279387,37367.0,MOBILIARIO INFANTIL
COCHE MOISES BELECOO BL 2306 - 251,60,17141400,285690.0,MOBILIARIO INFANTIL
CARRO MONTABLE CAMPIONI QX 3379,60,1805580,30093.0,CAMINADORES Y MONTABLES
JABONERA ESPONJA BOOGY 20887,60,476700,7945.0,HIGIENE PERSONAL
ENTRETENEDOR CINTA INFAN TEC BIP 1370,60,400980,6683.0,OTROS
PORTALECHE BOOGY 19990,60,338280,5638.0,ALIMENTOS Y BEBIDAS
ENTRETENEDOR CADENA BOOGY 33260,60,276960,4616.0,OTROS
VASO INFAN TEC BIP 1392,59,397837,6743.0,OTROS
TETERO 5 ONZ BOOGY 22006,59,359605,6095.0,BIBERONES Y EXTRACTORES
MOVIL PASTA HARMONIOUS BL 2306 - 244,58,1145732,19754.0,OTROS
DIDACTICO PIANO MARIPOSA BL 2306 - 168,58,896216,15452.0,OTROS
PLATO SILICONA BL 2024+44,58,634230,10935.0,OTROS
VASO 7 OZ JUGO BOOGY 19983,58,252706,4357.0,ALIMENTOS Y BEBIDAS
SILLA MECEDORA TITBABY 68144,57,4321113,75809.0,MOBILIARIO INFANTIL
DIDACTICO ROBOT BL 2306 - 170,57,817608,14344.0,OTROS
COBIJA DISNEY,56,3808000,68000.0,ROPA Y TEXTIL
MANTILLA YOYO BABY AH 02 - 513,56,1512672,27012.0,OTROS
VASO BOOGY 21389,56,709352,12667.0,OTROS
TETERO 4 OZ INFAN TEC BIP 1584,56,220304,3934.0,BIBERONES Y EXTRACTORES
SET DE ASEO NOOR ABHM 1003,55,950950,17290.0,OTROS
MANTILLA KOLACO SZ 125,55,849860,15452.0,OTROS
SILLA MECEDORA TITBABY 68147,54,4093686,75809.0,MOBILIARIO INFANTIL
CARGADOR 3 WAY CARRIER BL 2306 - 277,54,2233764,41366.0,OTROS
TETERO 8 OZ INFAN TEC GB 1086,54,421848,7812.0,BIBERONES Y EXTRACTORES
VASO INFANTEC BIP 1013,54,415530,7695.0,OTROS
CORTAUÑAS NOOR ABHM 1008,54,253800,4700.0,OTROS
ENTRETENEDOR DR GYM BL 2306 - 52,54,183276,3394.0,OTROS
MOVIL MUSICAL PASTA HAPPY SHAKING BL 2306 - 245,53,1046962,19754.0,OTROS
ESCRITORIO MULTIFUNCIONAL NIÑA ARMATY,52,4467736,85918.0,MOBILIARIO INFANTIL
VASO INFANTEC BIP 1371,52,476112,9156.0,OTROS
CUCHARA INFANTEC GB 0409,52,206440,3970.0,OTROS
CAMPING DE LUJO ABBA 1211,51,1992825,39075.0,MOBILIARIO INFANTIL
PELUCHE APEGO BABYFANS BL 2306 - 364,51,765612,15012.0,JUGUETES Y ACCESORIOS
PELUCHE SONAJERO BABYFANS BL 2306 - 354,51,487050,9550.0,JUGUETES Y ACCESORIOS
ESCOBILLON INFAN TEC BIP 1445,51,443853,8703.0,OTROS
CARGADOR BEBE MAMA BL 2412+104,50,1501200,30024.0,COCHES Y PORTEO
SET ASEO NOOR NOS 12,50,320400,6408.0,OTROS
CARGADOR MON BEBE BL 2306 - 283,49,2222836,45364.0,OTROS
MOVIL MUSICAL PASTA HAPPY SHAKING BL 2306 - 246,49,965300,19700.0,OTROS
VASO 17 OZ BOOGY 33288,49,412727,8423.0,OTROS
DIDACTICO CUTE MUSIC BL 2306 - 231,48,1005888,20956.0,OTROS
VASO INFANTEC BIP 1463,48,492288,10256.0,OTROS
CORTAUÑAS NOOR ABHM 1006,48,235968,4916.0,OTROS
LLAMADIENTE INFANTEC GB 0730,48,234864,4893.0,OTROS
ROLLO TERMICO 57 X 30,48,82128,1711.0,OTROS
VASO INFANTEC GB 1392,47,366506,7798.0,OTROS
ESCRITORIO MULTIFUNCIONAL NIÑO ARMATY,46,3952228,85918.0,MOBILIARIO INFANTIL
COLCHONETA EXTRAGRANDE ABBA 1027,46,1993916,43346.0,MOBILIARIO INFANTIL
EXTRACTOR INFANTEC GBP 053,46,704030,15305.0,BIBERONES Y EXTRACTORES
TAPETE BAÑERA BOOGY 20696,46,588938,12803.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
PORTALECHE INFANTEC GBS 414,46,512072,11132.0,ALIMENTOS Y BEBIDAS
VAJILLA INFANTEC BIP 1424,46,479918,10433.0,OTROS
BOTELLA PITILLO BOOGY 33539,46,465428,10118.0,OTROS
TETERO 8 OZ INFAN TEC BIP 1230,46,257094,5589.0,BIBERONES Y EXTRACTORES
COLCHONETA GRANDE ABBA 1028,45,1617435,35943.0,MOBILIARIO INFANTIL
VASO 11 OZ BOOGY 21410,45,562500,12500.0,OTROS
CUCHARA BOOGY 20767,45,179055,3979.0,OTROS
GIMNASIO PELOTAS BEBESITOS NRK 6,44,5401176,122754.0,JUGUETES Y ACCESORIOS
PANTALON TEDMIMAK 66009,44,1362724,30971.0,ROPA Y TEXTIL
TAPETE BAÑERA BOOGY 20697,44,563332,12803.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
CORRAL TATI ABBA 1061,43,4772570,110990.0,MOBILIARIO INFANTIL
TETERO 12 OZ INFANTEC GB 1397,43,595077,13839.0,BIBERONES Y EXTRACTORES
CORTAUÑAS CON LUPA BOOGY 19992,43,245014,5698.0,OTROS
COMEDOR BEBESITOS NG 204,42,9660000,230000.0,MOBILIARIO INFANTIL
TETERO DR GYM 1330,42,250866,5973.0,BIBERONES Y EXTRACTORES
COLCHONETA PEQUEÑA ABBA 1030,41,1053454,25694.0,MOBILIARIO INFANTIL
DIDACTICO VACA EARLY LEARN BL 2306 - 260,41,595935,14535.0,OTROS
TETERO 4 OZ INFANTEC GB 1128,41,298193,7273.0,BIBERONES Y EXTRACTORES
CUCHARAS INFAN TEC BIP 1225,40,154800,3870.0,OTROS
PELUCHE MUSICAL SOZZY WLTH 8100S,39,935337,23983.0,JUGUETES Y ACCESORIOS
DIDACTICO CANGREJO HUANGER BL 2306 - 235,39,531687,13633.0,OTROS
PIANO MUSIC BEL 5097,39,392886,10074.0,OTROS
LLAMADIENTES BOOGY 21452,39,148473,3807.0,OTROS
CEPILLO LLAMADIENTES BL 2306-48,39,106275,2725.0,OTROS
DIDACTICO CUTE MUSIC BL 2306 - 230,38,796328,20956.0,OTROS
DIDACTICO VACA COW SD 9954,38,639236,16822.0,OTROS
COMEDOR BEBESITOS NG 205,37,8510000,230000.0,MOBILIARIO INFANTIL
PLASTICO COCHE,37,296000,8000.0,OTROS
COMEDOR BEBESITOS NG 202,36,8280000,230000.0,MOBILIARIO INFANTIL
LLAMADIENTE CEPILLO BOOGY 21480,36,245916,6831.0,OTROS
ASPIRADOR NASAL BOOGY 33280,36,244080,6780.0,OTROS
CEPILLO PEINE BOOGY 21981,36,224316,6231.0,OTROS
PASEADOR HAPPY BABY VERSO - GRY GRIS,35,5582500,159500.0,CAMINADORES Y MONTABLES
MAMELUCO TEDMIMAK MANGA CORTA X5 REF 66001,35,918155,26233.0,OTROS
VASO INFAN TEC BIP 1443,35,344225,9835.0,OTROS
TETERO 5 OZ BOOGY 33231,35,257775,7365.0,BIBERONES Y EXTRACTORES
TETERO 4 OZ INFANTEC BIP 1394,34,393754,11581.0,BIBERONES Y EXTRACTORES
PASEADOR S 100,33,4314585,130745.0,CAMINADORES Y MONTABLES
GIMNASIO PELOTAS 668+32,33,2871231,87007.0,JUGUETES Y ACCESORIOS
PELUCHE MUSICAL SOZZY WLTH 8102 S,33,791868,23996.0,JUGUETES Y ACCESORIOS
VASO BOOGY 21390,33,418011,12667.0,OTROS
VASO 10 ONZ BOOGY 21384,33,310002,9394.0,OTROS
LLAMADIENTES INFANTEC GB 1195,33,164802,4994.0,OTROS
ENTRETENEDOR INFANTEC BIP 1378 L,33,115335,3495.0,OTROS
GIMNASIO PELOTAS 668+33,32,2900128,90629.0,JUGUETES Y ACCESORIOS
CARGADOR MAMA A 2412+103,32,944992,29531.0,OTROS
VASO INFANTEC BIP 1406,32,381504,11922.0,OTROS
CEPILLO INFANTEC GB 0759,32,249312,7791.0,OTROS
VALDE PLEGABLE BAÑERA CARITA,31,210800,6800.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
ENTRETENEDOR INFANTEC BIP 1460,31,112561,3631.0,OTROS
ESPONJA BAÑO BATHING GLOVE JMA 1908 - 12,31,83886,2706.0,HIGIENE PERSONAL
CARGADOR BABY BOO CARRIER BL 2306 - 281,30,1391700,46390.0,OTROS
CARGADOR AIEBAO BL 2412+097,30,1370760,45692.0,COCHES Y PORTEO
MOVIL PASTA LOVING HUT BL 2306 - 253,30,885570,29519.0,OTROS
CARGADOR KANG YING BL 2306-288,30,494790,16493.0,OTROS
TETERO 12 OZ INFAN TEC BIP 1564,30,257160,8572.0,BIBERONES Y EXTRACTORES
PASEADOR POPY PAPA BL 2306 - 375,29,2562585,88365.0,CAMINADORES Y MONTABLES
CARGADOR AIEBAO BL 2412+102,29,1700299,58631.0,COCHES Y PORTEO
VASO BOOGY 21433,29,363515,12535.0,OTROS
VASO 13 OZ BOOGY 21414,29,351074,12106.0,OTROS
VAJILLA TOMMEE TIPPIE TM 8,29,265640,9160.0,OTROS
ENTRETENEDOR CADENA BOOGY 18390,29,220168,7592.0,OTROS
DISPENSADOR BOOGY 21432,29,204160,7040.0,OTROS
COMEDOR BEBESITOS NG 200,28,6440000,230000.0,MOBILIARIO INFANTIL
MOVIL PELUCHE BABYFANS BL 2306 - 356,28,420336,15012.0,JUGUETES Y ACCESORIOS
SET CUCHARAS X 2 NOOR NOS 112,28,265384,9478.0,OTROS
ENTRETENEDOR ESTUCHE BOOGY 18682,28,150584,5378.0,ESTUCHES Y KITS REGALO
CUCHARA BOOGY 19218,28,140616,5022.0,OTROS
FLOTADOR BESTWAY 34009,27,712800,26400.0,OTROS
MOVIL PELUCHE BABYFANS BL 2306 - 357,27,457056,16928.0,JUGUETES Y ACCESORIOS
DIDACTICO MUSIC INTEREST BL 2306 - 185,27,444069,16447.0,OTROS
LLAMADIENTE GUANTE NOOR NOS 237,27,303642,11246.0,OTROS
MALLA FRUTA BOOGY 21965,27,159003,5889.0,OTROS
VAJILLA INFANTEC BIP 1091,26,358462,13787.0,OTROS
GIMNASIO PELOTAS 668+31,24,2088168,87007.0,JUGUETES Y ACCESORIOS
PISCINA PELOTAS BALL POLL BL 2306 - 377,24,997152,41548.0,OTROS
FLOTADOR BESTWAY 93405 E,24,781440,32560.0,OTROS
COJIN MATERNO LACTANCIA REF 1052,24,630336,26264.0,CUIDADO FEMENINO Y MATERNIDAD
ESTANTE ORGANIZADOR 4 PUESTOS ARMATY,23,1646915,71605.0,OTROS
TETERO 9 OZ INFANTEC BIP 1490,23,227378,9886.0,BIBERONES Y EXTRACTORES
ENTRETENEDOR X 2 INFANTEC BIP 1275,23,163691,7117.0,OTROS
COCHE MOISES SIMPLE LIFE BL 2306 - 374,22,8155686,370713.0,MOBILIARIO INFANTIL
MALETA MASCOTA PETS HOME 008 - 980 A - 3,22,1185008,53864.0,OTROS
PELUCHE SONAJERO BABYFANS BL 2306 - 359,22,226842,10311.0,JUGUETES Y ACCESORIOS
DIDACTICO CARTOON PIANO BL 2306 - 180,22,222706,10123.0,OTROS
TETERO 5 OZ BOOGY 20118,22,147730,6715.0,BIBERONES Y EXTRACTORES
CORTAUÑAS NOOR ABHM 1007,22,105776,4808.0,OTROS
CADENA BOOGY 21923,22,50886,2313.0,OTROS
MALETA MORRAL MASCOTA PETS HOSPITAL 008 - 997 A - 2,21,835002,39762.0,OTROS
MAMELUCO X 3 MEDIAS CAJA REF 068,21,626052,29812.0,ROPA Y TEXTIL
SET DE ASEO BOOGY 20745,21,177744,8464.0,OTROS
PASEADOR HAPPY BABY VERSO - BLU AZUL,20,3190000,159500.0,CAMINADORES Y MONTABLES
ESTERILIZADOR MICROONDAS BOOGY 18167,20,830480,41524.0,OTROS
MALETA HELLO DOCTOR 008 - 995 A,20,795240,39762.0,OTROS
MESA DIDACTICA BL 2306 - 271,20,751220,37561.0,OTROS
PELUCHE MUSICAL JOLLYBAB WLTH 8090 J,20,432400,21620.0,JUGUETES Y ACCESORIOS
PASEADOR FUTURE HAPPY BABY GREY GRIS,19,2713200,142800.0,CAMINADORES Y MONTABLES
MALETA HEALTH DAY 008 - 985 A,19,900505,47395.0,OTROS
MALETA HERRAMIENTA TOOLS 008 - 982 A,19,900505,47395.0,OTROS
MALETA MASCOTA PETS HOSPITAL 008 - 998 A - 1,19,753768,39672.0,OTROS
FLOTADOR BESTWAY 42046,19,291840,15360.0,OTROS
GORRO JMA 19 - 3,19,107483,5657.0,OTROS
COMEDOR BEBESITOS NG 201,18,4140000,230000.0,MOBILIARIO INFANTIL
PASEADOR FUTURE HAPPY BABY BLACK NEGRO,18,2570400,142800.0,CAMINADORES Y MONTABLES
EXTRACTOR LECHE ELECTRICO BOOGY 33457,18,2556612,142034.0,BIBERONES Y EXTRACTORES
FLOTADOR BESTWAY 41094,18,992160,55120.0,OTROS
MALETA MASCOTA PETS HOME 008 - 987 A - 3,18,969552,53864.0,OTROS
MALETA MASCOTA PETS HOME 008 - 980 A - 1,18,917802,50989.0,OTROS
FLOTADOR BESTWAY 41115,18,583200,32400.0,OTROS
ENTRETENEDOR X 2 INFANTEC BIP 1276,18,149292,8294.0,OTROS
ENTRETENEDOR BABY TRAINING GB 7008,18,147402,8189.0,OTROS
CORRAL BEBESITOS ST 3600 - 547,17,6428431,378143.0,MOBILIARIO INFANTIL
CORRAL BEBESITOS ST 3700 - 547,17,6428431,378143.0,MOBILIARIO INFANTIL
SOPORTE BAÑERA CON CAMBIADOR ABBA 1219,17,1283143,75479.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
SOPORTE METALICO BAÑERA 1201,17,769369,45257.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
PROTECTOR DE CUNA ABBA 1034,17,688483,40499.0,MOBILIARIO INFANTIL
TETERO 5 ONZ BOOGY 22004,17,103615,6095.0,BIBERONES Y EXTRACTORES
PORTALECHE CIHOCO JRB 06,17,73967,4351.0,ALIMENTOS Y BEBIDAS
ENTRETENEDOR INFANTEC GB 0917,17,68000,4000.0,OTROS
CUCHARA DR GYM JMA 1908 - 26,17,30090,1770.0,OTROS
COCHE PASEADOR KIDILO BL 2306 - 249,16,2172576,135786.0,CAMINADORES Y MONTABLES
VASO 11 OZ BOOGY 21394,16,218144,13634.0,OTROS
ASPIRADOR NASAL INFANTEC BIP 1270,16,88144,5509.0,OTROS
SET MANICURE NOOR NRM 1152,16,53264,3329.0,OTROS
COCHE SPECTRUM SPM 900 - 494,15,5750955,383397.0,COCHES Y PORTEO
DIDACTICO CHICKEN BL 2306 - 172,15,231630,15442.0,OTROS
VAJILLA GENIAL GN-B62F84,15,189285,12619.0,OTROS
TAPETE MUSICAL PIANO BL 2306 - 263,14,322056,23004.0,JUGUETES Y ACCESORIOS
PELUCHE MUSICAL SOZZY WLTH 8087 J,14,302680,21620.0,JUGUETES Y ACCESORIOS
PELUCHE MUSICAL FUNMUCH BL 2306 - 344,14,216230,15445.0,JUGUETES Y ACCESORIOS
VASO 13 OZ BOOGY 21401,14,171080,12220.0,OTROS
PELUCHE APEGO TOLELE BL 2306 - 351,14,156436,11174.0,JUGUETES Y ACCESORIOS
BOTELLA PITILLO BOOGY 33538,14,141652,10118.0,OTROS
ENTRETENEDOR INFANTEC GB 1379 M,14,53830,3845.0,OTROS
ENTRETENEDOR INFANTEC GB 0989,14,52024,3716.0,OTROS
FLOTADOR INTEX 58561,13,696969,53613.0,OTROS
FLOTADOR INTEX 58523,13,509782,39214.0,OTROS
DIDACTICO VACA ANIMALS KEYBOARD BL 2306 - 228,13,240305,18485.0,OTROS
VAJILLA J 2204029,13,106704,8208.0,OTROS
LLAMADIENTE BOOGY 21443,13,104871,8067.0,OTROS
CEPILLO PEINE INFANTEC BIP 1042,13,91780,7060.0,OTROS
CEPILLO BOOGY 20768,13,71565,5505.0,OTROS
ENTRETENEDOR MAGEMIOR LOT - 9,13,24635,1895.0,OTROS
CORRAL COLECHO ABBA 1063,12,1957488,163124.0,MOBILIARIO INFANTIL
CORRALITO CASITA ABBA 1108,12,560160,46680.0,MOBILIARIO INFANTIL
PISCINA INTEX 58434,12,537480,44790.0,OTROS
FLOTADOR BESTWAY 98009,12,402240,33520.0,OTROS
FLOTADOR BESTWAY 41098,12,356616,29718.0,OTROS
DIDACTICO ELEFANTE BL 2306 - 233,12,204408,17034.0,OTROS
DIDACTICO COCODRILO BL 2306 - 232,12,201084,16757.0,OTROS
PELUCHE APEGO BABY FANS BL 2306 - 362,12,184692,15391.0,JUGUETES Y ACCESORIOS
TETERO 16 OZ BOOGY 21976,12,173160,14430.0,BIBERONES Y EXTRACTORES
TETERO 15 OZ BOOGY 33305,12,126348,10529.0,BIBERONES Y EXTRACTORES
ENTRETENEDOR SAFARY GBS 029,12,50292,4191.0,OTROS
CARGADOR BABY WILLBABY 8601,11,373813,33983.0,OTROS
FLOTADOR DISNEY BESTWAY 91003,11,200640,18240.0,OTROS
TETERO 16 OZ BOOGY 21972,11,157773,14343.0,BIBERONES Y EXTRACTORES
LLAMADIENTE CADENA BOOGY 21479,11,152691,13881.0,OTROS
VAJILLA BOOGY 19215,11,113498,10318.0,OTROS
CEPILLO BABY COLOR GBC 5186,11,45133,4103.0,OTROS
PASEADOR BOOGY 2070,10,993320,99332.0,CAMINADORES Y MONTABLES
NIDO PARA BEBE ABBA REF 1233,10,590040,59004.0,ALIMENTACIÓN INFANTIL
PROTECTOR DE CUNA NUBE ABBA 1035,10,582920,58292.0,MOBILIARIO INFANTIL
ESPUMA BAÑERA ABBA 1203,10,93240,9324.0,BAÑO BEBÉ (BAÑERAS Y BACINES)
PLASTICO COCHE ESTAMPADO,10,87000,8700.0,COCHES Y PORTEO
ENTRETENEDOR BOOGY 33258,10,32710,3271.0,OTROS
ESTERILIZADOR VAPOR BOOGY 13050,9,593532,65948.0,OTROS
COLCHONETA CAMPING ABBA 1029,9,268398,29822.0,MOBILIARIO INFANTIL
ENTRETENEDOR INFANTEC BIP 1430,9,48663,5407.0,OTROS
TETERO 2 OZ BOOGY 21927,9,33426,3714.0,BIBERONES Y EXTRACTORES
ENTRETENEDOR DR GYM BL 2306 - 53,9,30546,3394.0,OTROS
ASPIRADOR NASAL MANGUERA ESTUCHE BL 2306-47,9,26712,2968.0,ESTUCHES Y KITS REGALO
CORRAL DESARMABLE CASITA ABBA 09,8,1568264,196033.0,MOBILIARIO INFANTIL
FLOTADOR BESTWAY 36159,8,203712,25464.0,OTROS
FLOTADOR BESTWAY 42048,8,202240,25280.0,OTROS
LLAMADIENTE CADENA BOOGY 21477,8,111192,13899.0,OTROS
VASO PITILLO BABY COLOR BIP 2009,8,98800,12350.0,OTROS
TETERO 2 OZ BOOGY 21926,8,29960,3745.0,BIBERONES Y EXTRACTORES
CORRAL BEBESITOS ST 3600 - 542,7,2647001,378143.0,MOBILIARIO INFANTIL
COCHE BABYLAND BL 2306 - 243,7,1203909,171987.0,COCHES Y PORTEO
COCHE HAPPY BABY DALLAS - BLU AZUL,7,1049580,149940.0,COCHES Y PORTEO
TOLDILLO CULUMPIO 102,7,584500,83500.0,ACCESORIOS BEBÉ
ESCOBILLON INFANTEC BIP 1333,7,78820,11260.0,OTROS
TETERO 2 OZ BOOGY 20657,7,26313,3759.0,BIBERONES Y EXTRACTORES
PISCINA INTEX 56495,6,867810,144635.0,OTROS
FLOTADOR INTEX 57552,6,409266,68211.0,OTROS
PELUCHE MUSICAL SOZZY WLTH 8033 S,6,161418,26903.0,JUGUETES Y ACCESORIOS
PAÑAL ECOLOGICO BOOGY 33277,6,107130,17855.0,PAÑALES
FLOTADOR BESTWAY 34106,6,100368,16728.0,OTROS
REDUCTOR BAÑO CHILDREN AGARRADERA BB - 2,6,99840,16640.0,ACCESORIOS BEBÉ
TETERO 14 OZ JUNGLE BIP 1167,6,89184,14864.0,BIBERONES Y EXTRACTORES
VASO 8 OZ BOOGY 21434,6,82248,13708.0,OTROS
VASO JUGO INFANTEC BIP 1129,6,54966,9161.0,ALIMENTOS Y BEBIDAS
LIMA ELECTRICA BEBE SA 2904+2,6,44934,7489.0,OTROS
COCHE SPECTRUM SPM 900 - 503,5,1916985,383397.0,COCHES Y PORTEO
COCHE SPECTRUM SPM 900 - 496,5,1893830,378766.0,COCHES Y PORTEO
COMEDOR BOOGY 20889,5,690890,138178.0,MOBILIARIO INFANTIL
PASEADOR BOOGY 2072,5,496660,99332.0,CAMINADORES Y MONTABLES
VASO INFANTEC BIP 1455,5,42555,8511.0,OTROS
VOLQUETA MINERA CAMPIONI,5,28535,5707.0,OTROS
COCHE SPECTRUM SPL 1603,4,2394880,598720.0,COCHES Y PORTEO
COCHE SPECTRUM SPM 900 - 502,4,1533588,383397.0,COCHES Y PORTEO
COCHE SPECTRUM SPM 900 - 505,4,1533588,383397.0,COCHES Y PORTEO
COCHE SPECTRUM SPM 900 - 493,4,1515064,378766.0,COCHES Y PORTEO
COCHE BABYSTONE 2306 - 373,4,1512068,378017.0,COCHES Y PORTEO
CORRAL BEBESITOS BS 1100 - 543,4,1185800,296450.0,MOBILIARIO INFANTIL
PASEADOR FUTURE HAPPY BABY PINK ROSADO,4,571200,142800.0,CAMINADORES Y MONTABLES
PASEADOR BABY BL 2306 - 261,4,415480,103870.0,CAMINADORES Y MONTABLES
ESTANTE ORGANIZADOR 3 PUESTOS ARMATY,4,220908,55227.0,OTROS
PISCINA BESTWAY 52189,4,204672,51168.0,OTROS
CORRALITO CASITA ABBA 1102,4,180588,45147.0,MOBILIARIO INFANTIL
COLCHONETA ANTIREFLUJO ABBA 1056,4,170536,42634.0,MOBILIARIO INFANTIL
PAÑALERA SYLLABLE BL 2306-82,4,166360,41590.0,PAÑALES
FLOTADOR BESTWAY 41037,4,106560,26640.0,OTROS
VASO 10 OZ BABY COLOR GBC 5128,4,30168,7542.0,OTROS
PORTALECHE WAKIDS 76470,4,16308,4077.0,ALIMENTOS Y BEBIDAS
COCHE SPECTRUM SPL 1500,3,1695681,565227.0,COCHES Y PORTEO
COCHE SPECTRUM SPM 300 - 511,3,1429044,476348.0,COCHES Y PORTEO
COCHE HAPPY BABY FAST BLK NEGRO,3,1224510,408170.0,COCHES Y PORTEO
COCHE SPECTRUM SPM 900 - 504,3,1150191,383397.0,COCHES Y PORTEO
CORRAL BEBESITOS ST 3600 - 544,3,1134429,378143.0,MOBILIARIO INFANTIL
CORRAL BEBESITOS BS 1100 - 549,3,879429,293143.0,MOBILIARIO INFANTIL
PASEADOR MILANO PRIORI PINK,3,420000,140000.0,CAMINADORES Y MONTABLES
SILLA MECEDORA PREMIUM ABBA 1065,3,228705,76235.0,MOBILIARIO INFANTIL
MESA DIDACTICA ABERO BL 2306 - 383,3,195834,65278.0,OTROS
MALETA BEAUTY SET TOCADOR 008 - 993 A,3,119286,39762.0,MOBILIARIO INFANTIL
MESA INFANTIL ARMATY DECORADA,3,117147,39049.0,MOBILIARIO INFANTIL
DIDACTICO CASTLE BL 2306 - 177,3,43674,14558.0,OTROS
TETERO 15 OZ BOOGY 21436,3,40311,13437.0,BIBERONES Y EXTRACTORES
TETERO 5 OZ INFAN TEC BIP 1389,3,24531,8177.0,BIBERONES Y EXTRACTORES
VAJILLA BOOGY 19632,3,19383,6461.0,OTROS
TETERO 5 OZ INFAN TEC BIP 1551,3,17595,5865.0,BIBERONES Y EXTRACTORES
RINOCERONTE CAMPIONI TOYS,3,16812,5604.0,OTROS
SONAJERO PELUCHE XQ TOY BL 2306 - 341,3,14226,4742.0,JUGUETES Y ACCESORIOS
CHUPO X 2 ONLY 6+ A 8,3,7752,2584.0,BIBERONES Y EXTRACTORES
COCHE PORTABEBE PRIORI FREZZIO PNK ROSADO,2,1324470,662235.0,COCHES Y PORTEO
COCHE HAPPY BABY FAST GRY GRIS,2,816340,408170.0,COCHES Y PORTEO
CUNA MADERA BL 2306-378,2,794000,397000.0,MOBILIARIO INFANTIL
COCHE SPECTRUM SPM 900 - 492,2,757532,378766.0,COCHES Y PORTEO
CORRAL BEBESITOS ST 3700 - 557,2,756286,378143.0,MOBILIARIO INFANTIL
COCHE INFANTEC ND 1649,2,625962,312981.0,COCHES Y PORTEO
CUNA COLECHO HAPPY BABY MIX+ GRIS,2,625082,312541.0,MOBILIARIO INFANTIL
CORRAL BEBESITOS BS 1100 - 550,2,586286,293143.0,MOBILIARIO INFANTIL
PISCINA INTEX 48672,2,228422,114211.0,OTROS
TOLDILLO SOMBRILLA 101,2,146000,73000.0,ACCESORIOS BEBÉ
PAÑALERA CUNA BL 2306-85,2,105994,52997.0,PAÑALES
COJIN LACTANCIA MULTIUSOS ABBA 1230,2,69610,34805.0,ACCESORIOS BEBÉ
KIT VAJILLA SILICONA BL 2412+082,2,52300,26150.0,OTROS
VASO JUGO 20 OZ BOOGY 21953,2,33626,16813.0,ALIMENTOS Y BEBIDAS
