anio_mes,total_gastos,n_registros
2025-10,33657858.0,41
2025-11,60416622.0,81
2025-12,63861174.0,78
2026-01,89455445.0,85
2026-02,88890738.0,116
2026-03,90199364.0,106
2026-04,83891217.0,106
2026-05,87344882.0,103
2026-06,96682536.0,77
2026-07,5594490.0,3
