anio_mes,costo_importacion,no_operacional,operacional
2025-10,0.0,1199925.0,32457933.0
2025-11,0.0,1924982.0,58491640.0
2025-12,0.0,2154803.0,61706371.0
2026-01,0.0,9516191.0,79939254.0
2026-02,126686.0,13791991.0,74972061.0
2026-03,3451831.0,10072467.0,76675066.0
2026-04,6287740.0,10459257.0,67144220.0
2026-05,1483123.0,12700607.0,73161152.0
2026-06,5895864.0,11396007.0,79390665.0
2026-07,0.0,0.0,5594490.0
