cod_interno,descripcion,categoria_producto,ultima_venta,venta_total_hist,cantidad_ultimo_trimestre,stock_actual,costo_total_inventario,dias_sin_venta,clasificacion_rotacion,promedio_venta_mensual,meses_inventario
300,COLONIA ARRURRU X 120 AZUL + JABON,ESTUCHES Y KITS REGALO,2026-07-18,84486341,296.0,322.0,5631458.0,0,ACTIVO,98.67,3.3
14627,CHUPO ONLY BL 2412+055,BIBERONES Y EXTRACTORES,2026-07-17,14793194,2985.0,7482.0,5589054.0,1,ACTIVO,995.0,7.5
14026,LLAMADIENTE GUANTE ONLY BL 2306-20,OTROS,2026-07-17,1254802,19.0,1030.0,5494020.0,1,ACTIVO,6.33,162.7
13722,EXTRACTOR ONLY A 242,BIBERONES Y EXTRACTORES,2026-07-17,33630764,236.0,367.0,5471603.0,1,ACTIVO,78.67,4.7
412,RECOLECTORAS LACT BABY,OTROS,2026-07-17,8480600,521.0,2356.0,5418800.0,1,ACTIVO,173.67,13.6
13439,MALLA FRUTA BOOGY 21470,OTROS,2026-07-17,864660,8.0,561.0,5246472.0,1,ACTIVO,2.67,210.1
359,ESTUCHE ARRURRU ARRULLO,ESTUCHES Y KITS REGALO,2026-07-18,86251118,424.0,182.0,5143502.0,0,ACTIVO,141.33,1.3
10581,TOALLITAS HAPPY SOFT X 100,TOALLITAS HÚMEDAS Y PAÑITOS,2026-07-18,68981800,1257.0,714.0,4855200.0,0,ACTIVO,419.0,1.7
13788,TOCADOR CASTILLO PRINCESS,MOBILIARIO INFANTIL,2026-07-11,13332903,19.0,172.0,4819096.0,7,ACTIVO,6.33,27.2
14236,SONAJERO BABY RING X 3 BL 2306 - 163,JUGUETES Y ACCESORIOS,2026-07-11,955894,50.0,1077.0,4784034.0,7,ACTIVO,16.67,64.6
72,CORRAL TATI ABBA 1061,MOBILIARIO INFANTIL,2026-07-18,77138272,56.0,43.0,4772570.0,0,ACTIVO,18.67,2.3
14235,SONAJERO BABY RING X 3 BL 2306 - 162,JUGUETES Y ACCESORIOS,2026-07-04,560334,24.0,1075.0,4610675.0,14,ACTIVO,8.0,134.4
13723,EXTRACTOR ELECTRICO ONLY A 246,BIBERONES Y EXTRACTORES,2026-07-17,31742300,115.0,104.0,4569136.0,1,ACTIVO,38.33,2.7
13418,LLAMADIENTE BOOGY 21383,OTROS,2026-07-16,2057192,105.0,1191.0,4493643.0,2,ACTIVO,35.0,34.0
14234,SONAJERO BABY RING X 3 BL 2306 - 161,JUGUETES Y ACCESORIOS,2026-07-04,820334,13.0,1027.0,4404803.0,14,ACTIVO,4.33,237.2
14621,SILLA MECEDORA TITBABY 68144,MOBILIARIO INFANTIL,2026-07-17,33087550,183.0,57.0,4321113.0,1,ACTIVO,61.0,0.9
11382,MEDIA BABY SOCKS X 3 JMA 1908 - 18,ROPA Y TEXTIL,2026-07-17,20658936,152.0,778.0,4321012.0,1,ACTIVO,50.67,15.4
14605,CARGADOR POLOK BABY BL 2412+106,OTROS,2026-07-18,4290800,37.0,240.0,4290720.0,0,ACTIVO,12.33,19.5
10946,BOLSA LECHE MATERNA X 30 INFANTEC BIP 1335,CUIDADO FEMENINO Y MATERNIDAD,2026-07-16,4486017,13.0,227.0,4120504.0,2,ACTIVO,4.33,52.4
13337,MANTILLA RACCON BABY AH02-511,OTROS,2026-07-08,4574312,5.0,150.0,4052400.0,10,ACTIVO,1.67,89.8
