anio_mes,categoria_producto,venta_bruta,venta_total,costo_total,utilidad_bruta,margen_bruto_pct
2024-09,BAÑO BEBÉ (BAÑERAS Y BACINES),28807600.0,28100850.58,26534144.08,1566706.0,0.0558
2024-09,BIBERONES Y EXTRACTORES,12810577.0,12496289.76,12563267.73,-66978.0,-0.0054
2024-09,CAMINADORES Y MONTABLES,47200746.0,46042749.779999994,44964304.09000001,1078446.0,0.0234
2024-09,COCHES Y PORTEO,15225554.0,14852018.930000002,12989122.18,1862897.0,0.1254
2024-09,CREMAS Y CUIDADO PIEL,21289760.0,20767449.12,10327308.11,10440141.0,0.5027
2024-09,CUIDADO FEMENINO Y MATERNIDAD,3405100.0,3321561.2499999995,2846690.03,474871.0,0.143
2024-09,ESTUCHES Y KITS REGALO,65454911.0,63849077.26,82841290.56,-18992213.0,-0.2975
2024-09,FARMACIA Y BOTIQUÍN,63700.0,62137.21,62787.92,-651.0,-0.0105
2024-09,HIGIENE PERSONAL,47351442.0,46189748.8,48628534.86,-2438786.0,-0.0528
2024-09,JUGUETES Y ACCESORIOS,9984738.0,9739778.100000001,9833683.23,-93905.0,-0.0096
2024-09,MOBILIARIO INFANTIL,30373688.0,29628517.26,27514172.01,2114345.0,0.0714
2024-09,OTROS,58364825.0,56932935.84,53056478.04,3876458.0,0.0681
2024-09,PAÑALES,375976512.0,366752518.11999995,370593197.93,-3840680.0,-0.0105
2024-09,ROPA Y TEXTIL,4134601.0,4033165.08,3974079.8000000003,59085.0,0.0146
2024-09,TOALLITAS HÚMEDAS Y PAÑITOS,33814338.0,32984756.299999997,33330176.759999998,-345420.0,-0.0105
2024-10,ACCESORIOS BEBÉ,12708438.0,12396656.419999998,11791869.14,604787.0,0.0488
2024-10,ALIMENTACIÓN INFANTIL,4598450.0,4485634.24,4275941.31,209693.0,0.0467
2024-10,ALIMENTOS Y BEBIDAS,2543450.0,2481050.4299999997,2271940.16,209110.0,0.0843
2024-10,BAÑO BEBÉ (BAÑERAS Y BACINES),46728586.0,45582173.28,41552929.57,4029244.0,0.0884
2024-10,BIBERONES Y EXTRACTORES,44867077.0,43766333.940000005,41641852.94,2124481.0,0.0485
2024-10,CAMINADORES Y MONTABLES,66465896.0,64835259.59,59678621.21000001,5156638.0,0.0795
2024-10,COCHES Y PORTEO,30816702.0,30060662.580000002,27880425.9,2180237.0,0.0725
2024-10,CREMAS Y CUIDADO PIEL,14769696.0,14407344.67,7276864.63,7130480.0,0.4949
2024-10,CUIDADO FEMENINO Y MATERNIDAD,7151556.0,6976103.85,5724670.4799999995,1251433.0,0.1794
2024-10,ESTUCHES Y KITS REGALO,89195429.0,87007158.85,117480890.62,-30473732.0,-0.3502
2024-10,FARMACIA Y BOTIQUÍN,19600.0,19119.14,18225.36,894.0,0.0468
2024-10,HIGIENE PERSONAL,59536294.0,58075664.78999999,57654268.61,421396.0,0.0073
2024-10,JUGUETES Y ACCESORIOS,21803324.0,21268413.61,20270370.47,998043.0,0.0469
2024-10,MOBILIARIO INFANTIL,48542799.0,47351877.55999999,41588642.82,5763235.0,0.1217
2024-10,OTROS,96201296.0,93841148.88,85159979.34,8681170.0,0.0925
2024-10,PAÑALES,210967420.0,205791665.42,196171385.18,9620280.0,0.0467
2024-10,ROPA Y TEXTIL,21825222.0,21289774.51,20084059.5,1205715.0,0.0566
2024-10,TOALLITAS HÚMEDAS Y PAÑITOS,54527344.0,53189601.230000004,50703111.52,2486490.0,0.0467
2024-11,ACCESORIOS BEBÉ,4048800.0,3949469.0100000002,3974792.5199999996,-25324.0,-0.0064
2024-11,ALIMENTACIÓN INFANTIL,4499800.0,4389404.47,4580378.73,-190974.0,-0.0435
2024-11,ALIMENTOS Y BEBIDAS,1358584.0,1325253.3099999998,1185359.23,139894.0,0.1056
2024-11,BAÑO BEBÉ (BAÑERAS Y BACINES),41738450.0,40714462.5,38757968.36,1956494.0,0.0481
2024-11,BIBERONES Y EXTRACTORES,19815259.0,19329122.9,19984495.26,-655372.0,-0.0339
2024-11,CAMINADORES Y MONTABLES,79394770.0,77446943.91999999,77341614.79,105329.0,0.0014
2024-11,COCHES Y PORTEO,14526647.0,14170258.500000002,11635777.149999999,2534481.0,0.1789
2024-11,CREMAS Y CUIDADO PIEL,9992270.0,9747125.379999999,5080196.5600000005,4666929.0,0.4788
2024-11,CUIDADO FEMENINO Y MATERNIDAD,3343824.0,3261788.5500000003,2814398.6799999992,447390.0,0.1372
2024-11,ESTUCHES Y KITS REGALO,59391898.0,57934810.720000006,65465453.01,-7530642.0,-0.13
2024-11,HIGIENE PERSONAL,39748200.0,38773040.54,41118050.080000006,-2345010.0,-0.0605
2024-11,JUGUETES Y ACCESORIOS,9047900.0,8825923.979999999,9209922.379999999,-383998.0,-0.0435
