anio_mes,flete_nacional,flete_importacion,ventas_total,flete_total,pct_flete_nacional_sobre_ventas,pct_flete_importacion_sobre_ventas,pct_flete_total_sobre_ventas,tendencia_flete_pct
2026-01,6167653.0,0.0,761674894.64,6167653.0,0.0081,0.0,0.0081,
2026-02,6714100.0,126686.0,754380452.58,6840786.0,0.0089,0.0002,0.0091,
2026-03,5660100.0,3451831.0,868932146.74,9111931.0,0.0065,0.004,0.0105,
2026-04,4995350.0,6287740.0,882693265.35,11283090.0,0.0057,0.0071,0.0128,
2026-05,8149100.0,1483123.0,678437833.89,9632223.0,0.012,0.0022,0.0142,
2026-06,2794300.0,5895864.0,857568492.11,8690164.0,0.0033,0.0069,0.0101,0.0031333333333333317
2026-07,0.0,0.0,597415255.67,0.0,0.0,0.0,0.0,-0.0026999999999999975
