proveedor,saldo_pendiente,compras,n_facturas,dpo
Velox,247506462.7537,406088320.0,2,54.9
Importadora panama,51140200.0,68681600.0,2,67.0
Yiwu Jinchen Imp And Exp,24767080.0,593670200.0,3,3.8
Inversiones Ziba SAS,0.0,364300000.0,5,0.0
