anio_mes,fijo,variable,ventas_totales,pct_fijo_sobre_ventas,pct_variable_sobre_ventas
2026-01,48116850.0,41338595.0,767065945,0.0627,0.0539
2026-02,53699364.0,35191374.0,771488260,0.0696,0.0456
2026-03,51624039.0,38575325.0,915980847,0.0564,0.0421
2026-04,49971476.0,33919741.0,911751425,0.0548,0.0372
2026-05,49847899.0,37496983.0,696983334,0.0715,0.0538
2026-06,63154815.0,33527721.0,873775097,0.0723,0.0384
2026-07,5221800.0,372690.0,612440522,0.0085,0.0006
